Name,Group,Profile,Enabled,Action,Override,Program,Local Address,Remote Address,Protocol,Local Port,Remote Port,Authorized Computers,Authorized Local Principals,Local User Owner,PolicyAppId,Application Package,
File and Printer Sharing (SMB-Out),File and Printer Sharing,Private, Public,No,Allow,No,System,Any,Local subnet,TCP,Any,445,Any,Any,Any,None,Any,
File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-Out),File and Printer Sharing (Restrictive),All,No,Allow,No,System,Any,Any,ICMPv4,Any,Any,Any,Any,Any,None,Any,
File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-Out),File and Printer Sharing (Restrictive),All,No,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
File and Printer Sharing (Restrictive) (LLMNR-UDP-Out),File and Printer Sharing (Restrictive),All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,5355,Any,Any,Any,None,Any,
File and Printer Sharing (Restrictive) (SMB-Out),File and Printer Sharing (Restrictive),All,No,Allow,No,System,Any,Any,TCP,Any,445,Any,Any,Any,None,Any,
Get Help,Get Help,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.GetHelp_8wekyb3d8bbwe,
Intel® Graphics Command Center,Intel® Graphics Command Center,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,AppUp.IntelGraphicsExperience_8j3eq9eme6ctt,
iSCSI Service (TCP-Out),iSCSI Service,Domain,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
iSCSI Service (TCP-Out),iSCSI Service,Private, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
mDNS (UDP-Out),mDNS,Domain,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,5353,Any,Any,Any,None,Any,
mDNS (UDP-Out),mDNS,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,5353,Any,Any,Any,None,Any,
mDNS (UDP-Out),mDNS,Public,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,5353,Any,Any,Any,None,Any,
Media Center Extenders - Device Provisioning (TCP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\ehome\mcx2prov.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Media Center Extenders - Device Validation (TCP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\ehome\mcrmgr.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Media Center Extenders - Media Streaming (TCP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Media Center Extenders - Media Streaming (UDP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,1900,Any,Any,Any,Any,None,Any,
Media Center Extenders - qWave (TCP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2177,Any,Any,Any,None,Any,
Media Center Extenders - qWave (UDP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,2177,Any,Any,Any,None,Any,
Media Center Extenders - RTSP (TCP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\ehome\ehshell.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Media Center Extenders - Service (TCP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Media Center Extenders - SSDP (UDP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Media Center Extenders - UPnP (TCP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Media Center Extenders - WMDRM-ND/RTP/RTCP (UDP-Out),Media Center Extenders,All,No,Allow,No,%SystemRoot%\ehome\ehshell.exe,Any,Local subnet,UDP,Any,Any,Any,Any,Any,None,Any,
Microsoft 365 (Office),Microsoft 365 (Office),All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,
Microsoft Clipchamp,Microsoft Clipchamp,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Clipchamp.Clipchamp_yxz26nhyzhsrt,
Microsoft Content,Microsoft Content,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,
Microsoft Edge Game Assist,Microsoft Edge Game Assist,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.Edge.GameAssist_8wekyb3d8bbwe,
Microsoft Family,Microsoft Family,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,MicrosoftCorporationII.MicrosoftFamily_8wekyb3d8bbwe,
Microsoft Family Safety,Microsoft Family Safety,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.ParentalControls_cw5n1h2txyewy,
Microsoft Media Foundation Network Source OUT [TCP ALL],Microsoft Media Foundation Network Source,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,554, 8554-8558,Any,Any,Any,None,Any,
Microsoft Store,Microsoft Store,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.WindowsStore_8wekyb3d8bbwe,
Microsoft To Do,Microsoft To Do,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.Todos_8wekyb3d8bbwe,
Microsoft.Office.ActionsServer,Microsoft.Office.ActionsServer,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.Office.ActionsServer_8wekyb3d8bbwe,
MSN Weather,MSN Weather,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.BingWeather_8wekyb3d8bbwe,
MyASUS,MyASUS,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,B9ECED6F.ASUSPCAssistant_qmba6cd70vzyy,
Narrator,Narrator,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.Windows.NarratorQuickStart_8wekyb3d8bbwe,
NcsiUwpApp,NcsiUwpApp,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,NcsiUwpApp_8wekyb3d8bbwe,
Network Discovery (LLMNR-UDP-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,5355,Any,Any,Any,None,Any,
Network Discovery (LLMNR-UDP-Out),Network Discovery,Domain, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,5355,Any,Any,Any,None,Any,
Network Discovery (NB-Datagram-Out),Network Discovery,Public,No,Allow,No,System,Any,Local subnet,UDP,Any,138,Any,Any,Any,None,Any,
Network Discovery (NB-Datagram-Out),Network Discovery,Domain,No,Allow,No,System,Any,Any,UDP,Any,138,Any,Any,Any,None,Any,
Network Discovery (NB-Datagram-Out),Network Discovery,Private,Yes,Allow,No,System,Any,Local subnet,UDP,Any,138,Any,Any,Any,None,Any,
Network Discovery (NB-Name-Out),Network Discovery,Public,No,Allow,No,System,Any,Local subnet,UDP,Any,137,Any,Any,Any,None,Any,
Network Discovery (NB-Name-Out),Network Discovery,Domain,No,Allow,No,System,Any,Any,UDP,Any,137,Any,Any,Any,None,Any,
Network Discovery (NB-Name-Out),Network Discovery,Private,Yes,Allow,No,System,Any,Local subnet,UDP,Any,137,Any,Any,Any,None,Any,
Network Discovery (Pub WSD-Out),Network Discovery,Domain, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,3702,Any,Any,Any,None,Any,
Network Discovery (Pub WSD-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,3702,Any,Any,Any,None,Any,
Network Discovery (SSDP-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Network Discovery (SSDP-Out),Network Discovery,Domain, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Network Discovery (UPnPHost-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2869,Any,Any,Any,None,Any,
Network Discovery (UPnPHost-Out),Network Discovery,Domain, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2869,Any,Any,Any,None,Any,
Network Discovery (UPnP-Out),Network Discovery,Domain,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,2869,Any,Any,Any,None,Any,
Network Discovery (UPnP-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2869,Any,Any,Any,None,Any,
Network Discovery (UPnP-Out),Network Discovery,Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2869,Any,Any,Any,None,Any,
Network Discovery (WSD Events-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,5357,Any,Any,Any,None,Any,
Network Discovery (WSD Events-Out),Network Discovery,Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,5357,Any,Any,Any,None,Any,
Network Discovery (WSD Events-Out),Network Discovery,Domain,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,5357,Any,Any,Any,None,Any,
Network Discovery (WSD EventsSecure-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,5358,Any,Any,Any,None,Any,
Network Discovery (WSD EventsSecure-Out),Network Discovery,Domain,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,5358,Any,Any,Any,None,Any,
Network Discovery (WSD EventsSecure-Out),Network Discovery,Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,5358,Any,Any,Any,None,Any,
Network Discovery (WSD-Out),Network Discovery,Domain, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,3702,Any,Any,Any,None,Any,
Network Discovery (WSD-Out),Network Discovery,Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,3702,Any,Any,Any,None,Any,
News,News,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.BingNews_8wekyb3d8bbwe,
NVIDIA Control Panel,NVIDIA Control Panel,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,NVIDIACorp.NVIDIAControlPanel_56jybvy8sckqj,
OfficePushNotificationsUtility,OfficePushNotificationsUtility,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.OfficePushNotificationUtility_8wekyb3d8bbwe,
Print Queue,Print Queue,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.PrintQueueActionCenter_cw5n1h2txyewy,
Proximity sharing over TCP (TCP sharing-Out),Proximity Sharing,All,Yes,Allow,No,%SystemRoot%\system32\proximityuxhost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Recommended Troubleshooting Client (HTTP/HTTPS Out),Recommended Troubleshooting,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,80, 443,Any,Any,Any,None,Any,
Remote Assistance (PNRP-Out),Remote Assistance,Public,No,Allow,No,%systemroot%\system32\svchost.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Remote Assistance (PNRP-Out),Remote Assistance,Domain, Private,Yes,Allow,No,%systemroot%\system32\svchost.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Remote Assistance (RA Server TCP-Out),Remote Assistance,Domain,Yes,Allow,No,%SystemRoot%\system32\raserver.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Remote Assistance (SSDP TCP-Out),Remote Assistance,Domain, Private,Yes,Allow,No,System,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Remote Assistance (SSDP UDP-Out),Remote Assistance,Domain, Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Remote Assistance (TCP-Out),Remote Assistance,Domain, Private,Yes,Allow,No,%SystemRoot%\system32\msra.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Remote Assistance (TCP-Out),Remote Assistance,Public,No,Allow,No,%SystemRoot%\system32\msra.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Routing and Remote Access (GRE-Out),Routing and Remote Access,All,No,Allow,No,System,Any,Any,GRE,Any,Any,Any,Any,Any,None,Any,
Routing and Remote Access (L2TP-Out),Routing and Remote Access,All,No,Allow,No,System,Any,Any,UDP,Any,1701,Any,Any,Any,None,Any,
Routing and Remote Access (PPTP-Out),Routing and Remote Access,All,No,Allow,No,System,Any,Any,TCP,Any,1723,Any,Any,Any,None,Any,
Solitaire & Casual Games,Solitaire & Casual Games,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe,
Start,Start,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,
Start Experiences App,Start Experiences App,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.StartExperiencesApp_8wekyb3d8bbwe,
Store Experience Host,Store Experience Host,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.StorePurchaseApp_8wekyb3d8bbwe,
TPM Virtual Smart Card Management (TCP-Out),TPM Virtual Smart Card Management,Domain,No,Allow,No,%SystemRoot%\system32\RmtTpmVscMgrSvr.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
TPM Virtual Smart Card Management (TCP-Out),TPM Virtual Smart Card Management,Private, Public,No,Allow,No,%SystemRoot%\system32\RmtTpmVscMgrSvr.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Widgets Platform Runtime,Widgets Platform Runtime,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe,
Wi-Fi Direct Network Discovery (Out),Wi-Fi Direct Network Discovery,Public,Yes,Allow,No,%SystemRoot%\system32\dashost.exe,Any,Any,Any,Any,Any,Any,S-1-5-92-3339056971-1291069075-3798698925-2882100687-0,Any,None,Any,
Wi-Fi Direct Scan Service Use (Out),Wi-Fi Direct Network Discovery,Public,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,Any,Any,Any,Any,Any,Any,None,Any,
Wi-Fi Direct Spooler Use (Out),Wi-Fi Direct Network Discovery,Public,Yes,Allow,No,%SystemRoot%\system32\spoolsv.exe,Any,Any,Any,Any,Any,Any,Any,Any,None,Any,
Windows Calculator,Windows Calculator,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.WindowsCalculator_8wekyb3d8bbwe,
Windows Camera,Windows Camera,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.WindowsCamera_8wekyb3d8bbwe,
Windows Clock,Windows Clock,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.WindowsAlarms_8wekyb3d8bbwe,
Windows Collaboration Computer Name Registration Service (PNRP-Out),Windows Collaboration Computer Name Registration Service,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,3540,Any,Any,Any,None,Any,
Windows Collaboration Computer Name Registration Service (SSDP-Out),Windows Collaboration Computer Name Registration Service,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Windows Default Lock Screen,Windows Default Lock Screen,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.LockApp_cw5n1h2txyewy,
Windows Defender SmartScreen,Windows Defender SmartScreen,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy,
Windows Device Management Certificate Installer (TCP out),Windows Device Management,All,Yes,Allow,No,%SystemRoot%\system32\dmcertinst.exe,Any,Any,TCP,49152-65535,Any,Any,Any,Any,None,Any,
Windows Device Management Device Enroller (TCP out),Windows Device Management,All,Yes,Allow,No,%SystemRoot%\system32\deviceenroller.exe,Any,Any,TCP,49152-65535,80, 443,Any,Any,Any,None,Any,
Windows Device Management Enrollment Service (TCP out),Windows Device Management,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,49152-65535,Any,Any,Any,Any,None,Any,
Windows Device Management Sync Client (TCP out),Windows Device Management,All,Yes,Allow,No,%SystemRoot%\system32\omadmclient.exe,Any,Any,TCP,49152-65535,Any,Any,Any,Any,None,Any,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.Client.Photon_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.59379618.InpApp_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.Client.Core_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.Client.FileExp_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.Client.CBS_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.58681560.Livtop_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.58683691.InpApp_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.58680125.Speion_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.58681517.Voiess_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.59336768.Speion_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.Client.OOBE_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.59337133.Voiess_cw5n1h2txyewy,
Windows Feature Experience Pack,Windows Feature Experience Pack,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.54792954.Filons_cw5n1h2txyewy,
Windows Management Instrumentation (WMI-Out),Windows Management Instrumentation (WMI),Domain,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Management Instrumentation (WMI-Out),Windows Management Instrumentation (WMI),Private, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player,Windows Media Player,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.ZuneMusic_8wekyb3d8bbwe,
Windows Media Player (TCP-Out),Windows Media Player,All,No,Allow,No,%ProgramFiles%\Windows Media Player\wmplayer.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player (UDP-Out),Windows Media Player,All,No,Allow,No,%ProgramFiles%\Windows Media Player\wmplayer.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player x86 (TCP-Out),Windows Media Player,All,No,Allow,No,%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player x86 (UDP-Out),Windows Media Player,All,No,Allow,No,%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (HTTP-Streaming-Out),Windows Media Player Network Sharing Service,Private, Public,No,Allow,No,System,Any,Local subnet,TCP,Any,10243,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (HTTP-Streaming-Out),Windows Media Player Network Sharing Service,Domain,No,Allow,No,System,Any,Any,TCP,Any,10243,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (qWave-TCP-Out),Windows Media Player Network Sharing Service,Private, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,2177,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (qWave-TCP-Out),Windows Media Player Network Sharing Service,Domain,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,2177,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (qWave-UDP-Out),Windows Media Player Network Sharing Service,Private, Public,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,2177,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (qWave-UDP-Out),Windows Media Player Network Sharing Service,Domain,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,2177,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (SSDP-Out),Windows Media Player Network Sharing Service,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (Streaming-TCP-Out),Windows Media Player Network Sharing Service,Domain,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (Streaming-TCP-Out),Windows Media Player Network Sharing Service,Private, Public,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (Streaming-UDP-Out),Windows Media Player Network Sharing Service,Domain,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (Streaming-UDP-Out),Windows Media Player Network Sharing Service,Private, Public,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,Any,Local subnet,UDP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (TCP-Out),Windows Media Player Network Sharing Service,Domain,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (TCP-Out),Windows Media Player Network Sharing Service,Private, Public,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (UDP-Out),Windows Media Player Network Sharing Service,Private, Public,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,Any,Local subnet,UDP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (UDP-Out),Windows Media Player Network Sharing Service,Domain,No,Allow,No,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (UPnPHost-Out),Windows Media Player Network Sharing Service,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Media Player Network Sharing Service (UPnP-Out),Windows Media Player Network Sharing Service,All,No,Allow,No,System,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Peer to Peer Collaboration Foundation (PNRP-Out),Windows Peer to Peer Collaboration Foundation,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,3540,Any,Any,Any,None,Any,
Windows Peer to Peer Collaboration Foundation (SSDP-Out),Windows Peer to Peer Collaboration Foundation,All,No,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Local subnet,UDP,Any,1900,Any,Any,Any,None,Any,
Windows Peer to Peer Collaboration Foundation (TCP-Out),Windows Peer to Peer Collaboration Foundation,All,No,Allow,No,%SystemRoot%\system32\p2phost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Windows Peer to Peer Collaboration Foundation (WSD-Out),Windows Peer to Peer Collaboration Foundation,All,No,Allow,No,%SystemRoot%\system32\p2phost.exe,Any,Local subnet,UDP,Any,3702,Any,Any,Any,None,Any,
Windows Print,Windows Print,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Windows.PrintDialog_cw5n1h2txyewy,
Windows Security,Windows Security,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.SecHealthUI_8wekyb3d8bbwe,
Windows Shell Experience,Windows Shell Experience,Domain, Private,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,
